Company Name,Type of Company,Year of Establishment,Registration Number,GST Number,PAN Number,Head Office District,Contact Number,Official Email,Website,Branch Office Locations,Owner / MD Name,Key Decision Maker,Total Employees,Organizational Structure,Board of Directors,Nature of Business,Core Specialization,Service Areas,Years of Experience,Avg Projects Per Year,Avg Annual Turnover (Rs.),Net Worth (Rs.),Financial Stability,Financial Commitments,Total Engineers,Total Technical Staff,Major Machinery,Equipment Capacity,Total Projects Completed,Blacklisting History,Legal Disputes,ISO Certification,Safety Compliance,Environmental Compliance,Labour Law Compliance
Square Infra Solutions 282,Proprietorship,2010,2HTNIAYUBX,DUPLTFUX1XWO8M2,62PFEYL9Z6,Coimbatore,9420833723,squareinfrasolutions282@example.com,www.squareinfra282.com,Madurai,Owner 282,MD 282,328,Hierarchical,"Director A282, Director B282",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,28,5,103133856,227072461,At Risk,27222105,23,200,"Excavators, Cranes, Concrete Mixers",High,14,Yes,Yes,Multiple,Low,Compliant,Compliant
Square Infra Solutions 283,Partnership,1996,H5E6GMM22W,15TWM5BFIGEPXMV,4P27SEUNF7,Kancheepuram,9666384699,squareinfrasolutions283@example.com,www.squareinfra283.com,Cuddalore,Owner 283,MD 283,31,Hierarchical,"Director A283, Director B283",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,7,19,191597132,40279247,Moderate,23225891,37,58,"Excavators, Cranes, Concrete Mixers",High,39,No,No,ISO 45001,Low,Compliant,Non-Compliant
Square Infra Solutions 284,Partnership,2011,JHUNS403M1,JO007CXTUC510TJ,RVI4TCACEC,Dharmapuri,9788915569,squareinfrasolutions284@example.com,www.squareinfra284.com,Karur,Owner 284,MD 284,196,Hierarchical,"Director A284, Director B284",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,11,20,445327001,47151542,Moderate,39622658,46,101,"Excavators, Cranes, Concrete Mixers",Medium,51,No,Yes,ISO 45001,Low,Partial,Compliant
Square Infra Solutions 285,Pvt Ltd,2013,FZT3O9MMNR,ILGAX35EX0UN288,V2TAOSBDWW,Tiruchirappalli,9510834080,squareinfrasolutions285@example.com,www.squareinfra285.com,Theni,Owner 285,MD 285,20,Hierarchical,"Director A285, Director B285",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,10,9,241158553,105949203,Stable,32350157,74,143,"Excavators, Cranes, Concrete Mixers",Low,117,Yes,Yes,Not Certified,Medium,Partial,Non-Compliant
Square Infra Solutions 286,Ltd,1997,BUK41GD2K1,NESGD17PD42VIG5,8VHANQR3HF,Perambalur,9154328308,squareinfrasolutions286@example.com,www.squareinfra286.com,Dindigul,Owner 286,MD 286,296,Hierarchical,"Director A286, Director B286",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,5,21,172320684,92004135,Stable,30501965,77,32,"Excavators, Cranes, Concrete Mixers",Medium,76,No,No,ISO 14001,Medium,Non-Compliant,Compliant
Square Infra Solutions 287,Pvt Ltd,2006,VTDVQSJPTT,2WXV33Z5S4AOEL6,XEX37TNAP3,Coimbatore,9039602287,squareinfrasolutions287@example.com,www.squareinfra287.com,Coimbatore,Owner 287,MD 287,208,Hierarchical,"Director A287, Director B287",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,11,13,206294778,50948661,Stable,35176874,71,41,"Excavators, Cranes, Concrete Mixers",Medium,202,Yes,Yes,ISO 14001,High,Non-Compliant,Compliant
Square Infra Solutions 288,Partnership,2018,Q8Y0O3HHU5,8TAIOOICHIM81UM,6T0HIFNMHW,Thoothukudi,9576999770,squareinfrasolutions288@example.com,www.squareinfra288.com,Coimbatore,Owner 288,MD 288,437,Hierarchical,"Director A288, Director B288",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,20,11,14805811,296906758,Stable,37533069,58,159,"Excavators, Cranes, Concrete Mixers",High,189,Yes,Yes,ISO 14001,Low,Partial,Non-Compliant
Square Infra Solutions 289,Pvt Ltd,2022,W7QEKC55OI,DDBQMOV7ABLAJ6V,JBJ9AG4LG8,Perambalur,9969823395,squareinfrasolutions289@example.com,www.squareinfra289.com,Ramanathapuram,Owner 289,MD 289,448,Hierarchical,"Director A289, Director B289",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,17,10,149862217,281509526,At Risk,13750281,89,70,"Excavators, Cranes, Concrete Mixers",Medium,161,Yes,No,Not Certified,Medium,Partial,Partial
Square Infra Solutions 290,Partnership,2007,U6P6RX94NL,FUTYRMM4P32ALYI,V28SO0MGJF,Sivaganga,9771059339,squareinfrasolutions290@example.com,www.squareinfra290.com,Tiruvallur,Owner 290,MD 290,485,Hierarchical,"Director A290, Director B290",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,26,5,257165845,55892915,Stable,41117477,71,31,"Excavators, Cranes, Concrete Mixers",Medium,144,No,Yes,ISO 9001,High,Non-Compliant,Non-Compliant
Square Infra Solutions 291,Partnership,2000,F1V07M1ZB4,R2FQ6NI1I9SFSND,KDH72JPWHV,Karur,9836436671,squareinfrasolutions291@example.com,www.squareinfra291.com,Perambalur,Owner 291,MD 291,146,Hierarchical,"Director A291, Director B291",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,10,2,73078664,134424442,Moderate,17787140,5,43,"Excavators, Cranes, Concrete Mixers",Medium,102,No,No,Multiple,High,Partial,Compliant
Square Infra Solutions 292,Proprietorship,2015,8MKOVJKF8L,IBUA8KFTOZXHCPB,HG61PEJRAP,Tiruvarur,9844469766,squareinfrasolutions292@example.com,www.squareinfra292.com,Vellore,Owner 292,MD 292,309,Hierarchical,"Director A292, Director B292",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,26,13,62998657,290591728,At Risk,12683635,75,11,"Excavators, Cranes, Concrete Mixers",High,22,No,No,ISO 45001,Medium,Compliant,Non-Compliant
Square Infra Solutions 293,Ltd,1999,O2ZFG86JP9,S1TIUMTRONF3DXJ,PIFY499X8G,Chennai,9543631095,squareinfrasolutions293@example.com,www.squareinfra293.com,Chengalpattu,Owner 293,MD 293,375,Hierarchical,"Director A293, Director B293",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,12,20,293306669,274959631,Stable,4124333,86,195,"Excavators, Cranes, Concrete Mixers",High,160,Yes,No,ISO 9001,High,Partial,Non-Compliant
Square Infra Solutions 294,Proprietorship,2015,IBREEPH8OY,MS696T2RJYH6GMH,BUBRC297AE,Thanjavur,9516836453,squareinfrasolutions294@example.com,www.squareinfra294.com,Cuddalore,Owner 294,MD 294,90,Hierarchical,"Director A294, Director B294",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,10,21,389117549,27216651,Stable,33856588,5,75,"Excavators, Cranes, Concrete Mixers",High,53,Yes,Yes,ISO 14001,Low,Partial,Partial
Square Infra Solutions 295,Pvt Ltd,2013,VPCUEXKA2H,40GG3VCZ6XQ53A7,J2JUC7H04Q,Kallakurichi,9310996454,squareinfrasolutions295@example.com,www.squareinfra295.com,Karur,Owner 295,MD 295,189,Hierarchical,"Director A295, Director B295",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,11,24,257995389,33738917,At Risk,10912497,96,31,"Excavators, Cranes, Concrete Mixers",Medium,150,No,No,ISO 9001,Low,Partial,Compliant
Square Infra Solutions 296,Proprietorship,2005,QGFW5X98FA,RN5P494R63YTQX7,7SRADIFE7Q,Virudhunagar,9322001813,squareinfrasolutions296@example.com,www.squareinfra296.com,Krishnagiri,Owner 296,MD 296,75,Hierarchical,"Director A296, Director B296",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,27,11,309194516,273358495,At Risk,28916178,87,186,"Excavators, Cranes, Concrete Mixers",Low,193,Yes,No,ISO 9001,Low,Non-Compliant,Partial
Square Infra Solutions 297,Partnership,2021,WS53Y56EL7,QAY1KVDUQ69HPUJ,9MZ82BT862,Chennai,9680878167,squareinfrasolutions297@example.com,www.squareinfra297.com,Karur,Owner 297,MD 297,114,Hierarchical,"Director A297, Director B297",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,13,20,39851665,89932995,Stable,35824316,91,189,"Excavators, Cranes, Concrete Mixers",Medium,143,Yes,No,Not Certified,High,Compliant,Compliant
Square Infra Solutions 298,Partnership,1999,RPVX0ZCGQO,CFHME5E6L0F0R8P,SWU06TCAWA,Coimbatore,9877514812,squareinfrasolutions298@example.com,www.squareinfra298.com,Tenkasi,Owner 298,MD 298,435,Hierarchical,"Director A298, Director B298",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,4,14,362316066,184205972,At Risk,23081890,56,12,"Excavators, Cranes, Concrete Mixers",Low,241,Yes,Yes,ISO 14001,High,Non-Compliant,Compliant
Square Infra Solutions 299,Proprietorship,2022,HYXONJ8ALU,XLKSHXV8MC9QNAZ,VSWR0O8KXL,Kallakurichi,9316100713,squareinfrasolutions299@example.com,www.squareinfra299.com,Dharmapuri,Owner 299,MD 299,268,Hierarchical,"Director A299, Director B299",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,28,14,53450582,67690393,Stable,27058203,30,182,"Excavators, Cranes, Concrete Mixers",Medium,52,Yes,No,Not Certified,Low,Partial,Compliant
Square Infra Solutions 300,Proprietorship,2012,JQP5W76WLI,HYWGGZDPDBZUASE,C6E570IC18,Tiruvarur,9274595396,squareinfrasolutions300@example.com,www.squareinfra300.com,Thanjavur,Owner 300,MD 300,489,Hierarchical,"Director A300, Director B300",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,28,24,414721885,212465839,Moderate,16424347,100,112,"Excavators, Cranes, Concrete Mixers",Medium,128,No,Yes,Not Certified,Low,Compliant,Non-Compliant
Square Infra Solutions 301,Ltd,2022,A3NECTML0S,SZ20XP2OO2MYCQO,RYCQ2RUK26,Dharmapuri,9777346438,squareinfrasolutions301@example.com,www.squareinfra301.com,Thanjavur,Owner 301,MD 301,214,Hierarchical,"Director A301, Director B301",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,25,16,125669054,174059545,Stable,22628155,77,35,"Excavators, Cranes, Concrete Mixers",Medium,248,Yes,Yes,Multiple,Low,Partial,Compliant
Square Infra Solutions 302,Pvt Ltd,2003,9BN61T14Y0,G9SU9H9S3W98DT0,PRNDGETCSV,Ranipet,9815553530,squareinfrasolutions302@example.com,www.squareinfra302.com,Tiruvarur,Owner 302,MD 302,163,Hierarchical,"Director A302, Director B302",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,15,20,218588729,56773089,At Risk,3229577,89,68,"Excavators, Cranes, Concrete Mixers",Low,70,Yes,Yes,ISO 14001,Low,Compliant,Partial
Square Infra Solutions 303,Partnership,2012,GN5RA8KOVW,51XDLKVW6SKU08H,1FG52MI1GO,Thoothukudi,9839649583,squareinfrasolutions303@example.com,www.squareinfra303.com,Tenkasi,Owner 303,MD 303,499,Hierarchical,"Director A303, Director B303",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,10,10,332444109,194531452,Moderate,45913135,25,39,"Excavators, Cranes, Concrete Mixers",High,276,No,Yes,ISO 9001,High,Partial,Partial
Square Infra Solutions 304,Proprietorship,2013,GO4OSMOXMX,XFX45FXCLEW7SU7,X55BVMBYGT,Salem,9573575830,squareinfrasolutions304@example.com,www.squareinfra304.com,Chengalpattu,Owner 304,MD 304,231,Hierarchical,"Director A304, Director B304",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,26,23,142455719,140411272,Stable,45785416,69,147,"Excavators, Cranes, Concrete Mixers",Medium,261,Yes,Yes,ISO 9001,Low,Compliant,Compliant
Square Infra Solutions 305,Pvt Ltd,1999,CCOXVOM60K,ODYO40Z84OZ8FCK,G7V5A9ZKMJ,Ranipet,9395896743,squareinfrasolutions305@example.com,www.squareinfra305.com,Krishnagiri,Owner 305,MD 305,141,Hierarchical,"Director A305, Director B305",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,19,4,205668127,242214993,At Risk,14252378,7,18,"Excavators, Cranes, Concrete Mixers",Medium,38,No,Yes,ISO 9001,High,Partial,Compliant
Square Infra Solutions 306,Partnership,2007,D05D9YAG47,W26NBT480A4HZTF,AJ7GB79DE7,Dindigul,9250194843,squareinfrasolutions306@example.com,www.squareinfra306.com,Namakkal,Owner 306,MD 306,281,Hierarchical,"Director A306, Director B306",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,1,25,161183413,162223152,At Risk,29551019,82,133,"Excavators, Cranes, Concrete Mixers",High,131,No,No,ISO 9001,High,Partial,Partial
Square Infra Solutions 307,Partnership,2010,4DUXWARWT1,3F68DX5BIW9QJNC,F6RRT8A281,Tiruvallur,9657548428,squareinfrasolutions307@example.com,www.squareinfra307.com,Viluppuram,Owner 307,MD 307,42,Hierarchical,"Director A307, Director B307",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,12,8,76061145,120755509,At Risk,45673928,44,127,"Excavators, Cranes, Concrete Mixers",Low,44,No,No,Multiple,Medium,Non-Compliant,Compliant
Square Infra Solutions 308,Ltd,2017,V47RWQZ2X1,V9EDRJKJB8BJIWC,BBVPT27F3M,Tenkasi,9090852677,squareinfrasolutions308@example.com,www.squareinfra308.com,Namakkal,Owner 308,MD 308,142,Hierarchical,"Director A308, Director B308",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,17,9,22762973,132792359,Stable,16211614,85,129,"Excavators, Cranes, Concrete Mixers",High,62,Yes,Yes,ISO 9001,High,Non-Compliant,Compliant
Square Infra Solutions 309,Partnership,2009,WI0HMMWAWG,YZTM04RYSMX3VZ1,RMMX4H6IUN,Ramanathapuram,9919161658,squareinfrasolutions309@example.com,www.squareinfra309.com,Tiruvallur,Owner 309,MD 309,364,Hierarchical,"Director A309, Director B309",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,18,5,413900736,30594020,Stable,1787666,27,135,"Excavators, Cranes, Concrete Mixers",Medium,271,No,No,Multiple,Low,Compliant,Partial
Square Infra Solutions 310,Proprietorship,2018,LH5GDVNULL,L5ZPPPW1K59QGTG,H4NXVC87ES,Tiruvallur,9954686113,squareinfrasolutions310@example.com,www.squareinfra310.com,Ariyalur,Owner 310,MD 310,178,Hierarchical,"Director A310, Director B310",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,27,2,107395890,15198881,At Risk,19180556,10,163,"Excavators, Cranes, Concrete Mixers",Low,204,No,Yes,ISO 14001,Medium,Partial,Partial
Square Infra Solutions 311,Proprietorship,2002,EQQN2LGG32,IJ327SCBTTITL7L,PSQL3UMN6L,Dharmapuri,9324967454,squareinfrasolutions311@example.com,www.squareinfra311.com,Pudukkottai,Owner 311,MD 311,64,Hierarchical,"Director A311, Director B311",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,25,23,313286644,14017463,Moderate,47988070,43,77,"Excavators, Cranes, Concrete Mixers",Medium,75,No,Yes,Multiple,Medium,Non-Compliant,Partial
Square Infra Solutions 312,Pvt Ltd,2013,L01IM11151,0EXN32OOJGHEOM4,B1457WMF4R,Perambalur,9461383074,squareinfrasolutions312@example.com,www.squareinfra312.com,Coimbatore,Owner 312,MD 312,259,Hierarchical,"Director A312, Director B312",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,3,18,434458253,256513723,Moderate,37918103,98,85,"Excavators, Cranes, Concrete Mixers",Medium,84,No,Yes,ISO 14001,Low,Compliant,Non-Compliant
Square Infra Solutions 313,Ltd,2004,78JEBLAZPZ,F0BVX8SQHRH09WY,UAENW9DZXY,Tirupathur,9218925190,squareinfrasolutions313@example.com,www.squareinfra313.com,Pudukkottai,Owner 313,MD 313,436,Hierarchical,"Director A313, Director B313",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,2,5,21465107,71678090,At Risk,9780318,45,129,"Excavators, Cranes, Concrete Mixers",Low,9,No,Yes,ISO 45001,Medium,Non-Compliant,Partial
Square Infra Solutions 314,Proprietorship,2021,02F70ZB78S,26K3G716YBJWK6C,VFJHIPJZKF,Thanjavur,9705251369,squareinfrasolutions314@example.com,www.squareinfra314.com,Mayiladuthurai,Owner 314,MD 314,112,Hierarchical,"Director A314, Director B314",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,22,24,358847402,238121198,Moderate,45165834,11,137,"Excavators, Cranes, Concrete Mixers",Low,124,Yes,Yes,ISO 45001,Low,Non-Compliant,Compliant
Square Infra Solutions 315,Partnership,2001,EYMZ9F71BP,KPCJ16Z7NRJ5GHV,FLXAY0ORHC,Tirunelveli,9196290274,squareinfrasolutions315@example.com,www.squareinfra315.com,Madurai,Owner 315,MD 315,15,Hierarchical,"Director A315, Director B315",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,19,25,248999547,87417490,Stable,32823961,8,123,"Excavators, Cranes, Concrete Mixers",Low,144,Yes,No,ISO 9001,Medium,Non-Compliant,Non-Compliant
Square Infra Solutions 316,Partnership,2009,DVSQNA35C5,HMRNSWVUJEHG2EJ,BR91DYL3H6,Vellore,9965004896,squareinfrasolutions316@example.com,www.squareinfra316.com,Dharmapuri,Owner 316,MD 316,475,Hierarchical,"Director A316, Director B316",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,8,16,40350322,61429329,At Risk,45572791,84,150,"Excavators, Cranes, Concrete Mixers",Low,29,No,No,ISO 14001,Medium,Compliant,Partial
Square Infra Solutions 317,Ltd,2018,W57SF2BAC5,YJ47UPLXUF3OGKW,IEFIKQ1VH0,Tiruvarur,9491407724,squareinfrasolutions317@example.com,www.squareinfra317.com,Coimbatore,Owner 317,MD 317,137,Hierarchical,"Director A317, Director B317",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,12,14,461194244,118645836,Stable,9020334,94,198,"Excavators, Cranes, Concrete Mixers",High,46,Yes,No,Not Certified,High,Compliant,Partial
Square Infra Solutions 318,Ltd,2004,MM28A17ZWI,8P6LX59XASS1672,QFYW4K2FJ4,Thanjavur,9628297669,squareinfrasolutions318@example.com,www.squareinfra318.com,Madurai,Owner 318,MD 318,497,Hierarchical,"Director A318, Director B318",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,11,22,388303340,119398730,Moderate,31858536,85,65,"Excavators, Cranes, Concrete Mixers",High,145,No,Yes,ISO 45001,Medium,Compliant,Compliant
Square Infra Solutions 319,Proprietorship,2004,R19Z2NMDVG,DXI1ZWUMG2I8673,WCB7E8HN8E,Nagapattinam,9668996109,squareinfrasolutions319@example.com,www.squareinfra319.com,Tiruchirappalli,Owner 319,MD 319,191,Hierarchical,"Director A319, Director B319",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,1,19,269715362,97995505,At Risk,7786340,18,103,"Excavators, Cranes, Concrete Mixers",Low,96,Yes,No,ISO 14001,Medium,Partial,Non-Compliant
Square Infra Solutions 320,Ltd,1997,GWNTJH3VO0,EAZGDX9TFKMQADW,XG4SZG3FL9,Theni,9468351847,squareinfrasolutions320@example.com,www.squareinfra320.com,Tiruchirappalli,Owner 320,MD 320,175,Hierarchical,"Director A320, Director B320",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,10,19,134143938,217150701,At Risk,13152058,23,153,"Excavators, Cranes, Concrete Mixers",Low,264,No,Yes,ISO 45001,Low,Compliant,Non-Compliant
Square Infra Solutions 321,Pvt Ltd,2007,1PVJYD0FBW,NRC77P11CXED2O0,BOJTXK5C27,Tiruvannamalai,9294608999,squareinfrasolutions321@example.com,www.squareinfra321.com,Viluppuram,Owner 321,MD 321,46,Hierarchical,"Director A321, Director B321",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,8,20,294887764,65004869,Moderate,48646991,13,40,"Excavators, Cranes, Concrete Mixers",Low,297,Yes,Yes,ISO 45001,Medium,Compliant,Partial
Square Infra Solutions 322,Pvt Ltd,1997,C18EY6XMY3,2LEUNX93FWH6E1E,1VQMTBQ6GW,Tiruchirappalli,9074630045,squareinfrasolutions322@example.com,www.squareinfra322.com,Chennai,Owner 322,MD 322,431,Hierarchical,"Director A322, Director B322",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,5,15,81344088,210932139,At Risk,3995408,34,10,"Excavators, Cranes, Concrete Mixers",High,28,Yes,Yes,ISO 9001,High,Partial,Compliant
Square Infra Solutions 323,Ltd,1998,JRYZ842KRQ,HONNUWH16N7CQVB,1FEKCB9UZI,Dindigul,9280574651,squareinfrasolutions323@example.com,www.squareinfra323.com,Theni,Owner 323,MD 323,399,Hierarchical,"Director A323, Director B323",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,24,20,128535854,166861230,Moderate,34191550,77,111,"Excavators, Cranes, Concrete Mixers",Medium,73,No,Yes,ISO 45001,Low,Non-Compliant,Compliant
Square Infra Solutions 324,Partnership,2002,U2N12LYTRN,G4660AFLXJJFFN7,K5O3MUUOW2,Krishnagiri,9899524966,squareinfrasolutions324@example.com,www.squareinfra324.com,Vellore,Owner 324,MD 324,290,Hierarchical,"Director A324, Director B324",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,16,14,383707661,198334315,At Risk,25708108,40,176,"Excavators, Cranes, Concrete Mixers",High,231,No,Yes,ISO 9001,Medium,Partial,Compliant
Square Infra Solutions 325,Ltd,1997,T6QO09VEUF,0GRV77VYG26I5OQ,43XSTEM39Z,Viluppuram,9204460152,squareinfrasolutions325@example.com,www.squareinfra325.com,Coimbatore,Owner 325,MD 325,170,Hierarchical,"Director A325, Director B325",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,17,12,429853575,2334987,Stable,16957502,77,72,"Excavators, Cranes, Concrete Mixers",Low,6,Yes,No,ISO 9001,Low,Non-Compliant,Non-Compliant
Square Infra Solutions 326,Partnership,1998,P03HGDSXPT,84AEP4UAPRGVMMD,S4L2XL1S3U,Tirunelveli,9001789417,squareinfrasolutions326@example.com,www.squareinfra326.com,Mayiladuthurai,Owner 326,MD 326,431,Hierarchical,"Director A326, Director B326",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,12,12,341186249,226209548,Stable,46708887,14,38,"Excavators, Cranes, Concrete Mixers",High,245,No,No,ISO 14001,High,Partial,Partial
Square Infra Solutions 327,Ltd,2004,SQ08CZSW2T,2G66AJPC0SXWGEP,W4RRJ6Z424,Nilgiris,9793766336,squareinfrasolutions327@example.com,www.squareinfra327.com,Virudhunagar,Owner 327,MD 327,328,Hierarchical,"Director A327, Director B327",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,5,5,440965859,289108125,At Risk,49884236,14,108,"Excavators, Cranes, Concrete Mixers",Medium,266,No,Yes,ISO 14001,Low,Non-Compliant,Non-Compliant
Square Infra Solutions 328,Pvt Ltd,1995,WRQCLQIIQ4,3DXH3MNWMTGWZTD,LCVKQLXATF,Ranipet,9009270101,squareinfrasolutions328@example.com,www.squareinfra328.com,Tiruvallur,Owner 328,MD 328,81,Hierarchical,"Director A328, Director B328",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,24,17,472173061,207809197,Stable,45884490,48,186,"Excavators, Cranes, Concrete Mixers",Low,146,Yes,No,Not Certified,Low,Compliant,Partial
Square Infra Solutions 329,Proprietorship,2006,NXSHFE80SP,RYILQAVRHT47MSE,MCUQQUESFB,Karur,9490010537,squareinfrasolutions329@example.com,www.squareinfra329.com,Theni,Owner 329,MD 329,469,Hierarchical,"Director A329, Director B329",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,2,20,354861594,131838978,Stable,42351568,95,193,"Excavators, Cranes, Concrete Mixers",Low,32,Yes,Yes,Multiple,High,Non-Compliant,Partial
Square Infra Solutions 330,Pvt Ltd,2006,CYMYXYWHMH,XLJ2TD29F6OL4OF,0LEXRSA8QG,Tiruvannamalai,9950073735,squareinfrasolutions330@example.com,www.squareinfra330.com,Chennai,Owner 330,MD 330,44,Hierarchical,"Director A330, Director B330",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,28,4,229365767,245190207,Stable,43503312,73,151,"Excavators, Cranes, Concrete Mixers",Low,297,Yes,Yes,ISO 9001,Low,Partial,Compliant
Square Infra Solutions 331,Ltd,2021,ZQSQDERQ0E,YL6IAOJ5ZMIOTCZ,8BZDKTIJ1B,Erode,9114062259,squareinfrasolutions331@example.com,www.squareinfra331.com,Salem,Owner 331,MD 331,238,Hierarchical,"Director A331, Director B331",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,13,6,305820582,277248220,Moderate,12628880,28,56,"Excavators, Cranes, Concrete Mixers",High,49,Yes,Yes,ISO 14001,Medium,Partial,Partial
Square Infra Solutions 332,Pvt Ltd,2022,74VWNVW8PC,LH2L4RWHISU4ZS8,41YWTJYMTB,Cuddalore,9093170855,squareinfrasolutions332@example.com,www.squareinfra332.com,Tenkasi,Owner 332,MD 332,16,Hierarchical,"Director A332, Director B332",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,7,19,194781975,116595750,At Risk,37564371,45,84,"Excavators, Cranes, Concrete Mixers",Low,57,Yes,No,ISO 9001,Low,Partial,Compliant
Square Infra Solutions 333,Ltd,2013,B9E28L9YGS,58P9P6PI9W3FLU8,F7LQAFH0HQ,Mayiladuthurai,9367488386,squareinfrasolutions333@example.com,www.squareinfra333.com,Tenkasi,Owner 333,MD 333,122,Hierarchical,"Director A333, Director B333",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,1,13,11147936,53117509,Moderate,42714073,28,123,"Excavators, Cranes, Concrete Mixers",High,176,No,Yes,ISO 9001,Medium,Non-Compliant,Partial
Square Infra Solutions 334,Proprietorship,2015,LSXTC1T3JM,MB864JPRATZYIGN,E0FCCLG0M7,Nilgiris,9972213895,squareinfrasolutions334@example.com,www.squareinfra334.com,Dindigul,Owner 334,MD 334,290,Hierarchical,"Director A334, Director B334",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,14,15,80771512,44589815,At Risk,11331423,45,33,"Excavators, Cranes, Concrete Mixers",Low,90,No,No,ISO 9001,High,Compliant,Compliant
Square Infra Solutions 335,Pvt Ltd,2012,79KATSN8MF,NOZ37EK22386DH9,NLD638AESW,Viluppuram,9178225745,squareinfrasolutions335@example.com,www.squareinfra335.com,Kallakurichi,Owner 335,MD 335,268,Hierarchical,"Director A335, Director B335",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,10,10,465411776,72548338,Stable,28651358,56,66,"Excavators, Cranes, Concrete Mixers",High,46,Yes,No,ISO 9001,Medium,Non-Compliant,Partial
Square Infra Solutions 336,Pvt Ltd,1997,PBY98KKWRI,OBZC0K0MVG9QUYS,A8U7D1GWNF,Tirunelveli,9069338091,squareinfrasolutions336@example.com,www.squareinfra336.com,Nagapattinam,Owner 336,MD 336,326,Hierarchical,"Director A336, Director B336",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,11,4,358134735,171742517,At Risk,34616259,54,134,"Excavators, Cranes, Concrete Mixers",High,83,Yes,No,ISO 9001,Low,Non-Compliant,Compliant
Square Infra Solutions 337,Partnership,2011,ITNSKBWA1G,93AM8GBDUXROBT8,0RTAUY3O54,Krishnagiri,9531200845,squareinfrasolutions337@example.com,www.squareinfra337.com,Namakkal,Owner 337,MD 337,90,Hierarchical,"Director A337, Director B337",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,27,7,391047938,277038572,At Risk,7668141,92,123,"Excavators, Cranes, Concrete Mixers",Medium,255,No,No,ISO 14001,Low,Partial,Non-Compliant
Square Infra Solutions 338,Partnership,2016,1XZIP6HZL7,SMLA8FQKFYNBN49,0WT1DDZKAE,Nagapattinam,9661290235,squareinfrasolutions338@example.com,www.squareinfra338.com,Coimbatore,Owner 338,MD 338,142,Hierarchical,"Director A338, Director B338",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,23,6,373422344,4611540,At Risk,3589793,88,190,"Excavators, Cranes, Concrete Mixers",High,177,No,Yes,Multiple,Medium,Compliant,Compliant
